Year,Month,Day,Hour,Minute,Temp,DHI,DNI,GHI,WindVel,Output_Power
2021,10,1,0,0,8.9,0,0,0,0.6,34.94
2021,10,1,1,0,9,0,0,0,1.3,34.52
2021,10,1,2,0,9.1,0,0,0,2.7,34.35
2021,10,1,3,0,9,0,0,0,3.3,34.41
2021,10,1,4,0,9,0,0,0,3.3,34.14
2021,10,1,5,0,9.4,4,0,4,4,77.4
2021,10,1,6,0,9.8,17,0,17,5.3,206.13
2021,10,1,7,0,9.6,25,0,25,6.4,533.92
2021,10,1,8,0,9.5,45,0,45,6.4,833.38
2021,10,1,9,0,9.8,109,0,109,6,980.03
2021,10,1,10,0,10.2,93,0,93,5.6,2110.09
2021,10,1,11,0,10.6,86,0,86,5.4,1527.57
2021,10,1,12,0,10.8,76,0,76,5.5,1260.87
2021,10,1,13,0,10.9,60,0,60,5.3,976.24
2021,10,1,14,0,10.9,64,0,64,5.3,885.75
2021,10,1,15,0,10.8,34,0,34,5.3,336.31
2021,10,1,16,0,10.8,4,0,4,5.5,82.11
2021,10,1,17,0,10.7,0,0,0,5.6,35.68
2021,10,1,18,0,10.6,0,0,0,5.6,35.55
2021,10,1,19,0,10.5,0,0,0,5.6,35.12
2021,10,1,20,0,10.4,0,0,0,5.5,35.31
2021,10,1,21,0,10.3,0,0,0,5.2,35.3
2021,10,1,22,0,10.1,0,0,0,5.1,35.78
2021,10,1,23,0,10,0,0,0,5.2,35.74
2021,10,2,0,0,9.9,0,0,0,4.9,35.52
2021,10,2,1,0,10,0,0,0,4.8,35.67
2021,10,2,2,0,10,0,0,0,5,35.31
2021,10,2,3,0,9.8,0,0,0,5,35.3
2021,10,2,4,0,9.7,0,0,0,4.7,35.21
2021,10,2,5,0,9.5,3,0,3,4.7,69.44
2021,10,2,6,0,9.4,25,0,25,4.9,311.2
2021,10,2,7,0,9.3,21,0,21,4.7,484.76
2021,10,2,8,0,9.3,70,0,70,4.5,747.83
2021,10,2,9,0,9.4,76,0,76,4.5,889.9
2021,10,2,10,0,9.5,82,0,82,4.5,1093.98
2021,10,2,11,0,9.5,43,0,43,4.4,763.95
2021,10,2,12,0,9.5,39,0,39,3.9,833.22
2021,10,2,13,0,9.6,45,0,45,3.3,638.93
2021,10,2,14,0,9.6,48,0,48,3,550.04
2021,10,2,15,0,9.7,29,0,29,2.9,269.85
2021,10,2,16,0,9.9,3,0,3,2.9,94.84
2021,10,2,17,0,10.1,0,0,0,3.3,35.77
2021,10,2,18,0,10.3,0,0,0,3.6,35.42
2021,10,2,19,0,10.4,0,0,0,3.7,35.7
2021,10,2,20,0,10.3,0,0,0,3.7,35.5
2021,10,2,21,0,10.3,0,0,0,3.6,35.59
2021,10,2,22,0,10.2,0,0,0,3.7,35.44
2021,10,2,23,0,10.2,0,0,0,4.2,35.06
2021,10,3,0,0,10.2,0,0,0,4.7,35.28
2021,10,3,1,0,10.1,0,0,0,5,35.47
2021,10,3,2,0,10,0,0,0,5,35.59
2021,10,3,3,0,9.9,0,0,0,5.4,35.45
2021,10,3,4,0,9.8,0,0,0,6,35.84
2021,10,3,5,0,9.9,0,0,0,6.7,39.44
2021,10,3,6,0,10.3,9,0,9,7.5,143.74
2021,10,3,7,0,10.8,25,0,25,7.9,194
2021,10,3,8,0,11.2,34,0,34,7.5,272.62
2021,10,3,9,0,11.5,74,0,74,6.7,729.01
2021,10,3,10,0,12.1,75,0,75,6.2,1400.21
2021,10,3,11,0,12.6,69,0,69,5.9,679.79
2021,10,3,12,0,12.7,67,0,67,6,635.04
2021,10,3,13,0,12.8,58,0,58,6.3,420.98
2021,10,3,14,0,12.7,47,0,47,6.5,347.01
2021,10,3,15,0,12.7,32,0,32,6.2,229.11
2021,10,3,16,0,12.8,1,0,1,6.2,62.65
2021,10,3,17,0,12.7,0,0,0,6.4,36.96
2021,10,3,18,0,12.7,0,0,0,6.7,36.72
2021,10,3,19,0,12.8,0,0,0,6.5,36.95
2021,10,3,20,0,12.8,0,0,0,5.9,36.42
2021,10,3,21,0,12.4,0,0,0,4,36.58
2021,10,3,22,0,11.1,0,0,0,3.2,37.1
2021,10,3,23,0,10.2,0,0,0,3.4,37.28
2021,10,4,0,0,10.1,0,0,0,2.6,36.96
2021,10,4,1,0,10,0,0,0,2.7,37.13
2021,10,4,2,0,10.1,0,0,0,3.3,37.28
2021,10,4,3,0,10.3,0,0,0,3.6,36.61
2021,10,4,4,0,10.5,0,0,0,3.8,35.73
2021,10,4,5,0,10.2,2,0,2,3.7,128.87
2021,10,4,6,0,10.2,23,0,23,3.7,685.12
2021,10,4,7,0,10.6,60,0,60,3.9,1269.9
2021,10,4,8,0,10.9,164,0,164,3.8,1949.98
2021,10,4,9,0,11.2,147,0,147,3.6,2286.88
2021,10,4,10,0,11.7,110,0,110,3.5,4116.45
2021,10,4,11,0,12.1,101,0,101,3.7,1893.21
2021,10,4,12,0,12,103,0,103,3.8,1302.9
2021,10,4,13,0,11.7,73,0,73,3.6,963.08
2021,10,4,14,0,11.5,62,0,62,3.5,651.69
2021,10,4,15,0,11.3,44,0,44,3.4,342.43
2021,10,4,16,0,10.9,4,0,4,3.3,39.77
2021,10,4,17,0,10.5,0,0,0,3.4,37.76
2021,10,4,18,0,10.5,0,0,0,3.6,37.41
2021,10,4,19,0,10.4,0,0,0,3.8,37.58
2021,10,4,20,0,9.9,0,0,0,3.6,37.25
2021,10,4,21,0,9.6,0,0,0,3.4,36.98
2021,10,4,22,0,9.3,0,0,0,3.2,36.73
2021,10,4,23,0,9.1,0,0,0,3.2,36.19
2021,10,5,0,0,9.2,0,0,0,3.3,35.59
2021,10,5,1,0,9.7,0,0,0,3.9,35.5
2021,10,5,2,0,10.3,0,0,0,4.5,35.02
2021,10,5,3,0,10.5,0,0,0,4.2,35.1
2021,10,5,4,0,10.5,0,0,0,3.6,34.63
2021,10,5,5,0,10.5,6,0,6,3.3,141.69
2021,10,5,6,0,10.6,57,12,58,3.2,335.4
2021,10,5,7,0,11.1,94,0,94,3.3,3449.94
2021,10,5,8,0,11.7,186,6,188,3.4,4823.47
2021,10,5,9,0,12.5,222,46,241,3.3,8089.01
2021,10,5,10,0,13.7,244,5,247,3.1,6683.85
2021,10,5,11,0,14.2,213,0,213,3.1,8317.52
2021,10,5,12,0,13.9,185,0,185,3,4575.98
2021,10,5,13,0,13.3,149,0,149,2.9,2515.42
2021,10,5,14,0,12.4,92,0,92,2.6,1229.87
2021,10,5,15,0,11.3,46,0,46,2.2,558.45
2021,10,5,16,0,10.2,1,0,1,2.1,109.85
2021,10,5,17,0,9.9,0,0,0,2.3,35.71
2021,10,5,18,0,9.8,0,0,0,2.5,35.1
2021,10,5,19,0,9.8,0,0,0,3,34.61
2021,10,5,20,0,9.7,0,0,0,3.3,34.88
2021,10,5,21,0,9.5,0,0,0,3.4,35.23
2021,10,5,22,0,9.5,0,0,0,3.8,35.73
2021,10,5,23,0,9.6,0,0,0,4,35.55
2021,10,6,0,0,9.7,0,0,0,3.8,35.67
2021,10,6,1,0,9.8,0,0,0,3.6,35.72
2021,10,6,2,0,9.8,0,0,0,3.6,35.03
