,Year,Month,Day,Hour,Minute,Temp,Cloud_opacity,DHI,DNI,GHI,WindVel,Output_Power
4,2021,9,1,4,0,8.8,48.5,12,4,13,1.5,18.0923472685943
5,2021,9,1,5,0,10.4,17.3,82,81,97,1.5,301.145859152316
6,2021,9,1,6,0,12.7,11.8,132,267,213,1.5,612.750677242811
7,2021,9,1,7,0,14.1,5,129,520,348,1.7,1271.50846239991
8,2021,9,1,8,0,15.4,11.8,203,415,418,2.3,1790.7118239868
9,2021,9,1,9,0,17.3,7.6,184,564,513,2.9,2472.69512627954
10,2021,9,1,10,0,19.4,11.7,234,474,530,3.3,2611.62397654323
11,2021,9,1,11,0,20.6,18.4,297,310,492,3.8,2348.16394744534
12,2021,9,1,12,0,20.8,30.6,325,110,392,4.2,1678.55737559945
13,2021,9,1,13,0,20.8,48.1,254,0,254,4.2,955.515789886949
14,2021,9,1,14,0,20.3,41.3,224,8,228,3.7,868.316963315355
15,2021,9,1,15,0,19.7,43.1,158,0,158,2.9,583.549417078824
16,2021,9,1,16,0,18.5,36.5,96,0,96,2,341.598605002355
17,2021,9,1,17,0,16.5,45.4,31,3,31,1.6,90.6623942701034
28,2021,9,2,4,0,8.7,22.1,16,50,20,1.3,34.1216217046258
29,2021,9,2,5,0,10.5,11.2,66,217,110,1,239.383656958912
30,2021,9,2,6,0,13.1,0.5,78,549,245,1,512.297704873013
31,2021,9,2,7,0,15.3,0,100,644,368,1.9,1333.62243574299
32,2021,9,2,8,0,17.1,0,116,699,474,3,2118.2871412471
33,2021,9,2,9,0,18.7,1.3,120,749,554,4,2783.0037246912
34,2021,9,2,10,0,20,9.9,220,530,548,4.8,2764.06160936546
35,2021,9,2,11,0,20.5,12.6,249,460,536,5.3,2757.39152570548
36,2021,9,2,12,0,20.5,3.7,144,700,559,5.4,3293.52775140777
37,2021,9,2,13,0,20.3,0,97,774,511,5.3,3242.36665525861
38,2021,9,2,14,0,20.1,1.6,102,674,404,4.9,2609.37271423977
39,2021,9,2,15,0,19.7,0.6,80,614,286,4.1,1914.14931822199
40,2021,9,2,16,0,18.4,0,56,474,158,3.5,1031.87348843875
41,2021,9,2,17,0,15.9,6,26,165,44,3,188.114190757734
52,2021,9,3,4,0,9,55.3,12,15,14,1.6,18.1673402198472
53,2021,9,3,5,0,10.4,80.1,28,0,28,1.6,80.3691612999122
54,2021,9,3,6,0,12.3,53.7,116,0,116,2.8,434.757155477764
55,2021,9,3,7,0,13.8,45.3,206,3,207,4,800.408912164454
56,2021,9,3,8,0,14.7,8.3,146,574,443,4.8,1973.78387649796
57,2021,9,3,9,0,15,17.4,257,361,464,5.2,2165.70556863613
58,2021,9,3,10,0,15.3,11.5,221,518,539,5.1,2789.96998177844
59,2021,9,3,11,0,15.7,14.4,248,453,529,4.8,2782.21062813898
60,2021,9,3,12,0,16.2,5.4,141,703,553,4.7,3344.82613682376
61,2021,9,3,13,0,16.5,4.6,117,708,494,4.5,3123.84637604533
62,2021,9,3,14,0,16.5,19.6,184,334,338,4.2,1846.54706658272
63,2021,9,3,15,0,16.1,17.2,143,313,240,3.6,1387.48128863152
64,2021,9,3,16,0,14.8,1.8,52,531,159,3,1126.75427485818
65,2021,9,3,17,0,12.9,33.4,20,169,39,2.5,167.786219663533
76,2021,9,4,4,0,4,9.1,14,50,19,1.8,27.7807601806578
77,2021,9,4,5,0,5.5,15.8,59,255,110,1.6,217.833159701803
78,2021,9,4,6,0,8,0,55,684,255,1.6,484.215471427028
79,2021,9,4,7,0,10.1,0,64,781,382,1.7,1424.40124679613
80,2021,9,4,8,0,12,0,70,838,491,1.6,2302.82123482434
